,Palabra,Frecuencia,ID_Articulo
405,"ventas, bonos, vinculados",1,1
406,"vinculados, sustentabilidad, aumentando",1,1
407,"sustentabilidad, aumentando, siguen",1,1
408,"aumentando, siguen, relativamente",1,1
409,"siguen, relativamente, pequeña",1,1
410,"relativamente, pequeña, emisión",1,1
411,"pequeña, emisión, bonos",1,1
412,"emisión, bonos, emitió",1,1
413,"bonos, emitió, millones",1,1
414,"emitió, millones, bonos",1,1
415,"millones, bonos, años",1,1
416,"bonos, años, amortizar",1,1
417,"años, amortizar, vencimientos",1,1
418,"amortizar, vencimientos, deuda",1,1
419,"vencimientos, deuda, incluida",1,1
420,"deuda, incluida, porción",1,1
421,"incluida, porción, préstamo",1,1
422,"porción, préstamo, utilizado",1,1
423,"préstamo, utilizado, comprar",1,1
424,"utilizado, comprar, empresa",1,1
425,"comprar, empresa, enero",1,1
426,"empresa, enero, comunicado",1,1
427,"enero, comunicado, transacción",1,1
428,"comunicado, transacción, tasa",1,1
429,"transacción, tasa, doble",1,1
430,"tasa, doble, pagó",1,1
431,"doble, pagó, emitir",1,1
432,"pagó, emitir, bonos",1,1
433,"emitir, bonos, vencimiento",1,1
434,"bonos, vencimiento, similar",1,1
435,"vencimiento, similar, octubre",1,1
436,"similar, octubre, principales",1,1
437,"octubre, principales, bancos",1,1
438,"principales, bancos, centrales",1,1
439,"bancos, centrales, incluida",1,1
440,"centrales, incluida, reserva",1,1
441,"incluida, reserva, federal",1,1
442,"reserva, federal, iniciaran",1,1
443,"federal, iniciaran, serie",1,1
444,"iniciaran, serie, alzas",1,1
445,"serie, alzas, tasas",1,1
446,"alzas, tasas, apetito",1,1
447,"tasas, apetito, reprimido",1,1
448,"apetito, reprimido, inversionistas",1,1
449,"reprimido, inversionistas, caballero",1,1
450,"inversionistas, caballero, transacciones",1,1
451,"caballero, transacciones, deuda",1,1
452,"transacciones, deuda, ecopetrol",1,1
453,"deuda, ecopetrol, vencimientos",1,1
454,"ecopetrol, vencimientos, millones",1,1
455,"vencimientos, millones, seguiremos",1,1
456,"millones, seguiremos, monitoreando",1,1
457,"seguiremos, monitoreando, mercado",1,1
458,"monitoreando, mercado, vemos",1,1
459,"mercado, vemos, oportunidades",1,1
460,"vemos, oportunidades, dependiendo",1,1
461,"oportunidades, dependiendo, evolucione",1,1
462,"dependiendo, evolucione, mercado",1,1
463,"evolucione, mercado, abordaremos",1,1
464,"mercado, abordaremos, semana",1,1
465,"abordaremos, semana, precios",1,1
466,"semana, precios, bonos",1,1
467,"precios, bonos, ecopetrol",1,1
468,"bonos, ecopetrol, cayeron",1,1
469,"ecopetrol, cayeron, compañía",1,1
470,"cayeron, compañía, informara",1,1
471,"compañía, informara, presidente",1,1
472,"informara, presidente, felipe",1,1
473,"presidente, felipe, bayón",1,1
474,"felipe, bayón, dejaba",1,1
475,"bayón, dejaba, cargo",1,1
476,"dejaba, cargo, presión",1,1
477,"cargo, presión, mandatario",1,1
478,"presión, mandatario, colombiano",1,1
479,"mandatario, colombiano, gustavo",1,1
480,"colombiano, gustavo, petro",1,1
481,"gustavo, petro, país",1,1
482,"petro, país, haga",1,1
483,"país, haga, transición",1,1
484,"haga, transición, energías",1,1
485,"transición, energías, renovables",1,1
486,"energías, renovables, incluye",1,1
487,"renovables, incluye, otorgar",1,1
488,"incluye, otorgar, contratos",1,1
489,"otorgar, contratos, exploración",1,1
490,"contratos, exploración, petróleo",1,1
491,"exploración, petróleo, permitiendo",1,1
492,"petróleo, permitiendo, continúen",1,1
493,"permitiendo, continúen, acuerdos",1,1
494,"continúen, acuerdos, estrategia",1,1
495,"acuerdos, estrategia, divisas",1,1
496,"estrategia, divisas, compañía",1,1
497,"divisas, compañía, busca",1,1
