index,Topicos
316,75
317,76
318,74
319,82
320,82
321,74
322,74
323,80
324,79
325,82
326,78
327,74
328,79
329,75
330,79
331,74
332,81
1089,82
1214,74
1215,80
1216,77
1217,77
1218,77
1219,77
1220,77
1221,77
1222,76
1223,75
1224,78
1225,80
1226,77
1227,77
1228,77
1229,82
1230,78
1231,77
1232,82
1233,75
1700,78
1701,79
1702,74
1703,77
1704,75
1705,76
1706,75
1707,77
1708,79
1709,76
1710,76
1711,81
1712,76
1713,74
1714,78
1715,77
1716,76
1717,77
1718,81
1719,79
333,86
334,88
335,88
336,88
337,85
338,85
339,85
340,88
341,87
342,85
343,84
344,86
345,87
346,88
347,84
348,87
349,86
350,88
351,88
352,86
353,83
354,86
355,87
356,84
357,88
358,88
359,88
360,88
361,84
362,88
363,88
364,83
365,84
366,84
367,85
368,88
369,88
370,83
371,85
372,88
373,83
374,86
375,83
376,86
377,86
378,87
379,88
380,84
1234,88
1235,87
1236,87
1237,84
1238,84
1239,84
1240,84
1241,87
1242,87
1243,86
1244,87
1245,85
1720,84
1721,83
1722,83
1723,86
1724,83
1725,86
1726,87
1727,85
1728,88
1729,87
1730,88
1731,85
1732,84
1733,83
1734,88
1735,83
1736,86
1737,88
381,92
382,89
383,92
384,96
385,95
386,91
387,89
388,89
389,89
390,96
391,96
392,91
393,90
394,92
395,93
396,92
397,90
398,90
399,92
400,92
401,91
402,96
403,92
404,93
405,89
406,90
407,96
408,90
409,95
410,90
411,89
412,92
413,93
414,95
415,96
416,91
417,94
418,96
419,94
420,95
421,94
422,93
423,91
424,89
425,92
426,90
427,89
1246,90
1247,95
1248,90
1249,90
1250,96
1251,90
1252,95
1253,95
1254,90
1255,92
1256,90
1257,90
1258,90
1259,92
1260,90
1261,90
1262,90
1263,95
1264,90
1265,95
1266,91
1267,90
1738,91
1739,94
1740,91
1741,91
1742,89
1743,93
1744,90
1745,92
1746,96
1747,89
1748,94
1749,89
1750,90
1751,93
1752,90
428,98
429,97
430,97
431,103
432,102
433,103
434,103
435,98
436,103
437,103
438,103
439,98
440,98
441,98
442,103
443,103
444,103
445,103
446,103
447,98
448,103
449,97
450,103
451,97
452,99
453,97
454,103
455,97
456,97
457,101
458,100
459,97
460,98
461,97
462,98
463,98
464,101
465,98
466,101
467,103
468,103
469,102
470,99
471,101
472,103
473,99
474,98
1090,100
1091,100
1268,102
1269,103
1270,103
1271,103
1272,103
1273,103
1274,103
1275,103
1276,103
1277,103
1278,99
1279,103
1280,99
1281,103
1282,99
1283,102
1284,97
1285,97
1286,98
1287,98
1288,97
1289,102
1290,97
1291,102
1583,101
1584,99
1585,99
1586,100
1587,97
1588,103
1589,97
1590,97
1591,97
1592,97
1593,103
1594,97
1595,97
1596,98
1597,97
1598,97
1599,103
1600,103
1601,103
1753,103
1754,103
1755,99
1756,98
1757,99
1758,98
1759,99
1760,102
1761,101
1762,103
1763,102
1764,98
1765,103
1766,102
1767,99
511,104
512,106
513,110
514,112
515,109
516,110
517,113
518,110
519,105
520,113
521,112
522,106
523,112
524,113
525,106
526,109
527,112
528,105
529,111
530,112
531,111
532,106
533,105
534,104
535,112
536,106
537,114
538,108
539,106
540,104
541,110
542,105
543,112
544,105
545,106
546,112
1094,114
1095,105
1317,106
1318,106
1319,106
1320,106
1321,113
1322,106
1323,108
1324,106
1325,106
1326,108
1327,106
1328,113
1329,108
1330,108
1331,108
1332,108
1333,106
1334,109
1335,113
1336,105
1337,112
1338,112
1339,108
1776,109
1777,104
1778,106
1779,104
1780,110
1781,109
1782,112
1783,106
1784,113
1785,111
1786,105
1787,104
1788,109
1789,112
1790,105
547,117
548,116
549,118
550,118
551,115
552,119
553,118
554,120
555,116
556,119
557,115
558,119
559,115
560,117
561,118
562,118
563,115
564,118
565,115
566,115
567,118
568,121
569,117
570,119
571,121
572,119
573,121
574,119
575,121
576,121
577,118
578,116
579,121
580,121
581,121
582,115
583,121
584,119
585,116
586,121
587,121
1096,120
1340,120
1341,116
1342,115
1343,117
1344,120
1345,120
1346,121
1347,116
1348,120
1349,117
1350,120
1351,120
1352,119
1353,117
1354,118
1355,120
1356,116
1357,115
1358,117
1359,120
1360,118
1361,115
1362,120
1363,117
1602,120
1603,121
1604,118
1605,121
1606,120
1607,120
1608,116
1609,116
1610,115
1611,117
1612,115
1613,118
1614,117
1615,116
1616,115
1791,119
1792,117
1793,115
1794,115
1795,115
1796,117
1797,117
1798,115
1799,120
1800,117
1801,115
1802,121
1803,121
1804,119
1805,119
1806,117
1807,119
1808,115
1809,117
1810,115
588,129
589,126
590,122
591,128
592,126
593,126
594,129
595,129
596,126
597,122
598,127
599,124
600,124
601,129
602,126
603,124
604,125
605,124
606,126
607,124
608,127
609,127
610,124
611,126
612,129
613,128
614,125
615,124
616,123
617,127
618,129
619,122
620,122
621,124
622,126
623,125
1364,127
1365,124
1366,124
1367,129
1368,122
1369,126
1370,126
1371,129
1372,124
1373,122
1374,124
1375,126
1376,129
1377,126
1378,126
1379,126
1380,123
1381,125
624,134
625,130
626,135
627,134
628,133
629,134
630,133
631,134
632,135
633,134
634,133
635,133
636,131
637,134
638,134
639,131
640,132
641,134
642,133
643,134
644,135
645,130
646,133
647,131
648,132
649,134
650,132
651,133
652,134
653,130
654,131
655,135
656,131
657,133
658,134
659,135
660,131
661,133
662,133
1382,131
1383,133
1384,130
1385,131
1386,130
1387,131
1388,133
1389,133
1390,133
1391,131
1392,131
1393,131
1394,133
1395,133
1396,135
1397,135
1398,133
1399,130
1400,130
1401,131
1402,133
1403,130
1811,135
1812,133
1813,135
1814,135
1815,130
1816,133
1817,133
1818,135
1819,135
1820,134
1821,134
1822,131
1823,130
663,140
664,140
665,137
666,140
667,136
668,140
669,137
670,138
671,138
672,136
673,136
674,137
675,140
676,137
677,136
678,136
679,139
680,140
681,140
682,138
683,140
684,139
685,138
686,140
687,138
688,136
689,140
690,140
691,136
692,136
693,138
694,139
695,138
696,140
697,140
698,138
699,138
700,138
1097,136
1098,138
1099,136
1100,137
1101,136
1404,140
1405,140
1406,140
1407,140
1408,137
1409,140
1410,138
1411,140
1412,140
1413,137
1414,138
1415,138
1416,137
1417,138
1418,140
1419,140
1420,140
1421,140
1422,137
1423,140
1424,137
1425,137
1426,140
1427,137
1428,140
1824,139
1825,138
701,141
702,141
703,141
704,144
705,141
706,142
707,145
708,144
709,144
710,143
711,144
712,141
713,144
714,146
715,144
716,141
717,144
718,143
719,142
720,141
721,146
722,145
723,146
724,146
725,146
726,144
727,146
728,144
729,143
730,141
731,145
732,146
733,142
734,141
735,142
736,142
737,146
738,141
739,146
740,141
741,144
742,144
1102,147
1103,143
1104,141
1105,146
1106,143
1107,147
1108,141
1109,141
1110,146
1826,145
1827,147
1828,142
1829,143
1830,144
1831,141
1979,142
1980,143
1981,143
1982,144
1983,144
1984,142
1985,146
1986,141
1987,142
1988,145
1989,143
1990,145
1991,141
1992,141
1993,146
1994,142
1995,143
1996,143
1997,142
1998,143
1999,142
2000,145
2001,142
2002,142
743,148
744,149
745,150
746,149
747,149
748,152
749,152
750,150
751,151
752,151
753,150
754,150
755,152
756,151
757,149
758,150
759,151
760,149
761,149
762,150
763,151
764,150
765,152
766,151
767,148
768,148
769,150
770,152
771,150
772,151
773,149
774,152
775,150
776,151
1429,150
1430,149
1431,152
1432,151
1433,152
1434,149
1435,149
1436,151
1437,148
1438,150
1439,150
1440,150
