,Palabra,Entidad,Empresa,Apariciones
428,marzo,0,BBVA,17
429,acciones,0,Enel,17
430,grupo,0,Enel,17
431,ejemplo,0,Falabella,17
432,unidos,0,Claro,17
433,financiera,0,Nequi,17
434,itaú,0,Itau,17
435,ejemplo,0,Bancolombia,17
436,capacidad,0,Enel,17
437,puesto,0,Ecopetrol,17
438,ricardo,0,Ecopetrol,17
439,prensa,0,Claro,17
440,países,0,Ecopetrol,17
441,operación,0,Enel,17
442,educación,0,BBVA,17
443,país,0,D1,17
444,digital,0,Nequi,17
445,acciones,0,ETB,16
446,ejemplo,0,Nequi,16
447,entidad,0,Davivienda,16
448,banco,0,Itau,16
449,riesgo,0,Ecopetrol,16
450,usuario,0,Nequi,16
451,forma,0,Ecopetrol,16
452,lugar,0,Terpel,16
453,espera,0,Enel,16
454,información,0,Nequi,16
455,bancolombia,1,Nequi,16
456,seguridad,0,Ecopetrol,16
457,millones,0,Promigas,16
458,tecnología,0,Alkosto,16
459,vida,0,BBVA,16
460,nacional,0,Bancolombia,16
461,colombianos,0,Nequi,16
462,mercados,0,Ecopetrol,16
463,española,0,Claro,16
464,persona,0,Nequi,16
465,sistema,0,Alkosto,16
466,plata,0,Nequi,16
467,seguridad,0,Davivienda,16
468,centro,0,Falabella,16
469,concejo,0,ETB,16
470,país,0,Caracol,16
471,datos,0,Nequi,16
472,política,0,Ecopetrol,16
473,forma,0,Nequi,16
474,personas,0,Grupo Sura,16
475,ciudad,0,ETB,16
476,efectivo,0,Credibanco,16
477,tienda,0,Falabella,16
478,viernes,0,Ecopetrol,16
479,social,0,Ecopetrol,16
480,tipo,0,Nequi,16
481,colombiana,0,Claro,16
482,millones,0,Terpel,16
483,financieros,0,BBVA,16
484,clave,0,Ecopetrol,16
485,compañías,0,Ecopetrol,16
486,opción,0,Nequi,16
487,carlos,0,Ecopetrol,16
488,ministerio,0,Enel,16
489,momento,0,Itau,16
490,resaltó,0,Ecopetrol,16
491,caso,0,BBVA,16
492,colombia,1,Caracol,16
493,protección,0,Ecopetrol,16
494,sodimac,0,Sodimac,16
495,comercial,0,Falabella,16
496,personas,0,Davivienda,16
497,sector,0,Credibanco,16
498,años,0,Grupo Sura,16
499,aumento,0,BBVA,16
500,banco,0,Falabella,16
501,mayo,0,Ecopetrol,16
502,asumirá,0,Ecopetrol,16
503,directivos,0,Ecopetrol,16
504,hechos,0,Ecopetrol,16
505,ingeniero,0,Ecopetrol,16
506,noticias,0,Caracol,16
507,promedio,0,Ecopetrol,16
508,presentó,0,Ecopetrol,16
509,reserva,0,Ecopetrol,16
510,vida,0,Davivienda,16
511,subió,0,Ecopetrol,16
512,confirmó,0,Ecopetrol,16
513,petro,0,Enel,16
514,digitales,0,Credibanco,16
515,celulares,0,Ecopetrol,16
516,tiempo,0,Alkosto,16
517,minas,0,Ecopetrol,16
518,empresas,0,Credibanco,16
519,venta,0,Falabella,15
520,espera,0,Alkosto,15
521,objetivo,0,Enel,15
522,recursos,0,Ecopetrol,15
523,tiempo,0,Sodimac,15
524,años,0,Cencosud,15
525,recursos,0,ETB,15
526,riesgo,0,ETB,15
527,consumidores,0,Credibanco,15
528,sistema,0,Bancolombia,15
529,lugar,0,Claro,15
530,tipo,0,Claro,15
531,puntos,0,Falabella,15
532,reducir,0,Ecopetrol,15
533,proceso,0,Enel,15
534,precio,0,Alkosto,15
535,canales,0,Falabella,15
536,nacional,0,Falabella,15
537,número,0,Credibanco,15
538,frente,0,Credibanco,15
539,diciembre,0,Enel,15
540,forma,0,Enel,15
541,valor,0,Credibanco,15
542,vida,0,Sodimac,15
543,tiempo,0,Grupo AVAL,15
544,viene,0,Ecopetrol,15
545,natural,0,Promigas,15
546,interés,0,Falabella,15
547,negocio,0,Ecopetrol,15
548,aumento,0,Falabella,15
549,tiempo,0,Enel,15
550,plataforma,0,Credibanco,15
551,almacenes,0,Cencosud,15
552,país,0,Grupo Argos,15
553,costo,0,Credibanco,15
554,colombiano,0,Ecopetrol,15
555,plan,0,ETB,15
556,periodo,0,Ecopetrol,15
557,nivel,0,Credibanco,15
558,vida,0,Enel,15
559,usuarios,0,Credibanco,15
560,llegar,0,Nequi,15
561,tiempo,0,BBVA,15
562,nivel,0,Bancolombia,15
563,precios,0,Bancolombia,15
564,desarrollo,0,ETB,15
565,combustibles,0,Ecopetrol,15
566,pago,0,BBVA,15
567,cuarto,0,Ecopetrol,15
568,república,0,Ecopetrol,15
569,mundo,0,Nequi,15
570,presidente,0,BBVA,15
571,salud,0,BBVA,15
572,cabo,0,Ecopetrol,15
573,financieras,0,Bancolombia,15
574,facturación,0,Credibanco,15
575,colombia,1,D1,15
576,pasar,0,Caracol,15
577,historia,0,Claro,15
578,cambio,0,ETB,15
579,interesar,0,Credibanco,15
580,pesos,0,Bancolombia,15
581,crudo,0,Ecopetrol,15
582,digitales,0,Nequi,15
583,mundial,0,Ecopetrol,15
584,momento,0,Bancolombia,15
585,inflación,0,Ecopetrol,15
586,situación,0,BBVA,15
587,tarjeta,0,Credibanco,15
588,momento,0,Credibanco,15
589,tiendas,0,Alkosto,15
590,caso,0,Sodimac,15
591,daviplata,0,Nequi,15
592,transporte,0,Ecopetrol,15
593,cargos,0,Grupo Argos,15
594,pago,0,Bancolombia,15
595,compañías,0,Enel,15
596,nación,0,Ecopetrol,15
597,productos,0,Bancolombia,15
598,clientes,0,Credibanco,15
599,mercado,0,ETB,15
600,dinero,0,Bancolombia,15
601,presidente,0,Promigas,15
602,sistema,0,Nequi,15
603,dinero,0,Davivienda,15
604,importante,0,Terpel,15
605,semana,0,Enel,15
606,dinero,0,Credibanco,15
607,energías,0,Enel,15
608,habría,0,Claro,15
609,número,0,D1,14
610,sergio,0,ETB,14
611,ministra,0,ETB,14
612,tecnología,0,Credibanco,14
613,meses,0,Enel,14
614,operación,0,Ecopetrol,14
615,venta,0,ETB,14
616,billetera,0,Nequi,14
617,momento,0,Nequi,14
618,general,0,Enel,14
619,anual,0,Ecopetrol,14
620,importante,0,Claro,14
621,tema,0,Caracol,14
622,eléctrico,0,Enel,14
623,país,0,Claro,14
624,trabajo,0,Falabella,14
625,semana,0,Bancolombia,14
626,tendencia,0,Ecopetrol,14
627,decidió,0,Claro,14
628,relacionista,0,Claro,14
629,entidades,0,BBVA,14
630,bienestar,0,Bancolombia,14
631,producto,0,Credibanco,14
632,ventas,0,Cencosud,14
633,infraestructura,0,ETB,14
634,bogotá,1,Vanti,14
635,bogotá,1,Terpel,14
636,interés,0,Itau,14
637,computadores,0,Ecopetrol,14
638,bogotá,1,Enel,14
639,pagos,0,Nequi,14
640,cuentas,0,Nequi,14
641,inversión,0,Falabella,14
642,diciembre,0,Ecopetrol,14
643,inversión,0,Enel,14
644,crecimiento,0,Bancolombia,14
645,trabajo,0,Claro,14
646,línea,0,BBVA,14
647,debate,0,ETB,14
648,mantener,0,Ecopetrol,14
649,datos,0,Enel,14
650,proceso,0,Claro,14
651,alto,0,Enel,14
652,seguir,0,Claro,14
653,usuarios,0,ETB,14
654,contrato,0,Ecopetrol,14
655,costo,0,BBVA,14
656,comportamiento,0,Ecopetrol,14
657,pagar,0,Bancolombia,14
658,publicó,0,Claro,14
659,compra,0,Ecopetrol,14
660,horas,0,Alkosto,14
661,horas,0,Bancolombia,14
662,legal,0,Ecopetrol,14
663,policía,0,Davivienda,14
664,medida,0,Falabella,14
665,horas,0,Davivienda,14
666,banco,0,Ecopetrol,14
667,país,0,Grupo AVAL,14
668,cifras,0,Ecopetrol,14
669,cerca,0,Enel,14
670,leer,0,Bancolombia,14
671,nacional,0,ETB,14
672,rueda,0,Ecopetrol,14
673,horas,0,Vanti,14
674,compras,0,Alkosto,14
675,espera,0,Credibanco,14
676,consumidores,0,Falabella,14
677,grupo,0,D1,14
678,utilidad,0,Ecopetrol,14
679,página,0,Nequi,14
680,interesar,0,Sodimac,14
681,necesario,0,Ecopetrol,14
682,general,0,Alkosto,14
683,suma,0,Nequi,14
684,banco,0,Nequi,14
685,reducción,0,BBVA,14
