,Palabra,Frecuencia,ID_Articulo
334,"sustentabilidad, entrevista",1,1
335,"entrevista, director",1,1
336,"director, finanzas",1,1
337,"finanzas, ecopetrol",1,1
338,"ecopetrol, jaime",1,1
339,"jaime, caballero",1,1
340,"caballero, uribe",1,1
341,"uribe, opciones",1,1
342,"opciones, materia",1,1
343,"materia, financiamiento",1,1
344,"financiamiento, medioambiental",1,1
345,"medioambiental, empresa",1,1
346,"empresa, certificada",1,1
347,"certificada, carbono",1,1
348,"carbono, sede",1,1
349,"sede, bogotá",1,1
350,"bogotá, adquirió",1,1
351,"adquirió, participación",1,1
352,"participación, impulsó",1,1
353,"impulsó, transacción",1,1
354,"transacción, millones",1,1
355,"millones, compañía",1,1
356,"compañía, opera",1,1
357,"opera, redes",1,1
358,"redes, eléctricas",1,1
359,"eléctricas, torres",1,1
360,"torres, telecomunicaciones",1,1
361,"telecomunicaciones, autopistas",1,1
362,"autopistas, países",1,1
363,"países, latinoamericanos",1,1
364,"latinoamericanos, brasil",1,1
365,"brasil, chile",1,1
366,"chile, permite",1,1
367,"permite, beneficiarse",1,1
368,"beneficiarse, flujos",1,1
369,"flujos, ingresos",1,1
370,"ingresos, predecibles",1,1
371,"predecibles, compensando",1,1
372,"compensando, parcialmente",1,1
373,"parcialmente, volatilidad",1,1
374,"volatilidad, precios",1,1
375,"precios, petróleo",1,1
376,"petróleo, bonos",1,1
377,"sustentabilidad, general",1,1
378,"general, penalizan",1,1
379,"penalizan, emisores",1,1
380,"emisores, costos",1,1
381,"costos, endeudamiento",1,1
382,"endeudamiento, altos",1,1
383,"altos, cumplen",1,1
384,"cumplen, métricas",1,1
385,"métricas, medioambientales",1,1
386,"medioambientales, sociales",1,1
387,"sociales, gobernanza",1,1
388,"gobernanza, corporativa",1,1
389,"corporativa, diferencia",1,1
390,"diferencia, bonos",1,1
391,"bonos, verdes",1,1
392,"verdes, empresas",1,1
393,"empresas, utilizar",1,1
394,"utilizar, ingresos",1,1
395,"ingresos, operación",1,1
396,"operación, planes",1,1
397,"planes, generales",1,1
398,"generales, financiación",1,1
399,"financiación, ventas",1,1
400,"ventas, bonos",1,1
401,"sustentabilidad, aumentando",1,1
402,"aumentando, siguen",1,1
403,"siguen, relativamente",1,1
404,"relativamente, pequeña",1,1
405,"pequeña, emisión",1,1
406,"emisión, bonos",1,1
407,"bonos, emitió",1,1
408,"emitió, millones",1,1
409,"millones, bonos",1,1
410,"bonos, años",1,1
411,"años, amortizar",1,1
412,"amortizar, vencimientos",1,1
413,"vencimientos, deuda",1,1
414,"deuda, incluida",1,1
415,"incluida, porción",1,1
416,"porción, préstamo",1,1
417,"préstamo, utilizado",1,1
418,"utilizado, comprar",1,1
419,"comprar, empresa",1,1
420,"empresa, enero",1,1
421,"enero, comunicado",1,1
422,"comunicado, transacción",1,1
423,"transacción, tasa",1,1
424,"tasa, doble",1,1
425,"doble, pagó",1,1
426,"pagó, emitir",1,1
427,"emitir, bonos",1,1
428,"bonos, vencimiento",1,1
429,"vencimiento, similar",1,1
430,"similar, octubre",1,1
431,"octubre, principales",1,1
432,"principales, bancos",1,1
433,"bancos, centrales",1,1
434,"centrales, incluida",1,1
435,"incluida, reserva",1,1
436,"reserva, federal",1,1
437,"federal, iniciaran",1,1
438,"iniciaran, serie",1,1
439,"serie, alzas",1,1
440,"alzas, tasas",1,1
441,"tasas, apetito",1,1
442,"apetito, reprimido",1,1
443,"reprimido, inversionistas",1,1
444,"inversionistas, caballero",1,1
445,"caballero, transacciones",1,1
446,"transacciones, deuda",1,1
447,"deuda, ecopetrol",1,1
448,"ecopetrol, vencimientos",1,1
449,"vencimientos, millones",1,1
450,"millones, seguiremos",1,1
451,"seguiremos, monitoreando",1,1
452,"monitoreando, mercado",1,1
453,"mercado, vemos",1,1
454,"vemos, oportunidades",1,1
455,"oportunidades, dependiendo",1,1
456,"dependiendo, evolucione",1,1
457,"evolucione, mercado",1,1
458,"mercado, abordaremos",1,1
459,"abordaremos, semana",1,1
460,"semana, precios",1,1
461,"precios, bonos",1,1
462,"bonos, ecopetrol",1,1
463,"ecopetrol, cayeron",1,1
464,"cayeron, compañía",1,1
465,"compañía, informara",1,1
466,"informara, presidente",1,1
467,"presidente, felipe",1,1
468,"felipe, bayón",1,1
469,"bayón, dejaba",1,1
470,"dejaba, cargo",1,1
471,"cargo, presión",1,1
472,"presión, mandatario",1,1
473,"mandatario, colombiano",1,1
474,"colombiano, gustavo",1,1
475,"gustavo, petro",1,1
476,"petro, país",1,1
477,"país, haga",1,1
478,"haga, transición",1,1
479,"transición, energías",1,1
480,"energías, renovables",1,1
481,"renovables, incluye",1,1
482,"incluye, otorgar",1,1
483,"otorgar, contratos",1,1
484,"contratos, exploración",1,1
485,"exploración, petróleo",1,1
486,"petróleo, permitiendo",1,1
487,"permitiendo, continúen",1,1
488,"continúen, acuerdos",1,1
489,"acuerdos, estrategia",1,1
490,"estrategia, divisas",1,1
491,"divisas, compañía",1,1
492,"compañía, busca",1,1
493,"busca, equilibrar",1,1
494,"equilibrar, necesidad",1,1
495,"necesidad, valor",1,1
496,"valor, sostenible",1,1
497,"sostenible, corto",1,1
498,"corto, mediano",1,1
499,"mediano, plazo",1,1
500,"plazo, necesidad",1,1
501,"necesidad, transición",1,1
502,"transición, diversificación",1,1
503,"diversificación, reducción",1,1
504,"reducción, huella",1,1
505,"huella, carbono",1,1
506,"carbono, estrategia",1,1
507,"estrategia, discutido",1,1
508,"discutido, gobierno",1,1
509,"gobierno, estrategia",1,1
510,"estrategia, sentido",1,1
511,"sentido, amplio",1,1
512,"amplio, responde",1,1
513,"responde, prioridades",1,1
514,"prioridades, gobierno",1,1
515,"gobierno, caballero",1,1
516,"caballero, discusión",1,1
517,"discusión, discusión",1,1
518,"discusión, ritmo",1,1
519,"ritmo, llevarse",1,1
520,"llevarse, cabo",1,1
521,"cabo, inversiones",1,1
522,"inversiones, empresa",1,1
523,"empresa, contratar",1,1
524,"contratar, alguien",1,1
525,"alguien, capacidades",1,1
526,"capacidades, profesionales",1,1
527,"profesionales, ampliamente",1,1
528,"ampliamente, reconocidas",1,1
529,"reconocidas, calificación",1,1
530,"calificación, crediticia",1,1
531,"crediticia, superior",1,1
532,"superior, empresa",1,1
533,"empresa, matriz",1,1
534,"matriz, potencialmente",1,1
535,"potencialmente, permite",1,1
536,"permite, acceder",1,1
537,"acceder, costos",1,1
538,"costos, financiación",1,1
539,"financiación, baratos",1,1
540,"baratos, fitch",1,1
541,"fitch, ratings",1,1
542,"ratings, califica",1,1
543,"califica, grado",2,1
544,"inversión, niveles",1,1
545,"niveles, ecopetrol",1,1
546,"ecopetrol, investors",1,1
547,"investors, service",1,1
548,"service, asigna",1,1
549,"asigna, ecopetrol",1,1
550,"ecopetrol, nota",1,1
551,"nota, grado",1,1
552,"inversión, califica",1,1
553,"grado, plazo",1,1
554,"plazo, empresa",1,1
555,"empresa, considerar",1,1
556,"considerar, obtención",1,1
557,"obtención, tipos",1,1
558,"tipos, llamada",1,1
559,"llamada, financiación",1,1
560,"financiación, proyectos",1,1
561,"proyectos, relacionados",1,1
562,"relacionados, tecnologías",1,1
563,"tecnologías, emergentes",1,1
564,"emergentes, producción",1,1
565,"producción, hidrógeno",1,1
566,"hidrógeno, secuestro",1,1
567,"secuestro, carbono",1,1
568,"carbono, actualmente",1,1
569,"actualmente, centrada",1,1
570,"centrada, estructuración",1,1
571,"estructuración, proyectos",1,1
572,"proyectos, incluida",1,1
573,"incluida, búsqueda",1,1
574,"búsqueda, socios",1,1
575,"socios, incentivos",1,1
576,"incentivos, gubernamentales",1,1
577,"gubernamentales, empresa",1,1
578,"empresa, seguirá",1,1
579,"seguirá, aumentando",1,1
580,"aumentando, presencia",1,1
581,"presencia, tecnologías",1,1
582,"tecnologías, limpias",1,1
583,"limpias, ecopetrol",1,1
584,"ecopetrol, ampliando",1,1
585,"ampliando, presencia",1,1
586,"presencia, unidos",1,1
587,"unidos, asia",1,1
588,"asia, principales",1,1
589,"principales, mercados",1,1
590,"mercados, exportación",1,1
591,"exportación, abrió",1,1
592,"abrió, oficina",1,1
593,"oficina, comercial",1,1
594,"comercial, materias",1,1
595,"materias, primas",1,1
596,"primas, singapur",1,1
597,"singapur, proceso",1,1
598,"proceso, abrir",1,1
599,"abrir, houston",1,1
600,"martes, mercado",1,2
601,"mercado, cerró",1,2
602,"cerró, índice",1,2
603,"índice, msci",1,2
604,"msci, colcap",1,2
605,"colcap, puntos",1,2
606,"puntos, significó",1,2
607,"significó, incremento",1,2
608,"incremento, variación",1,2
609,"variación, absoluta",2,2
610,"absoluta, porcentual",2,2
611,"porcentual, frente",1,2
612,"frente, inicio",1,2
613,"inicio, acciones",1,2
614,"acciones, bancolombia",1,2
615,"bancolombia, preferencial",1,2
616,"preferencial, lideraron",1,2
617,"lideraron, ganancias",1,2
618,"ganancias, bolsa",1,2
619,"bolsa, valores",1,2
620,"valores, colombia",1,2
621,"colombia, renta",1,2
622,"renta, variable",1,2
623,"variable, negociadas",1,2
624,"negociadas, millones",1,2
625,"millones, precio",1,2
626,"precio, cierre",2,2
627,"cierre, acción",1,2
628,"acción, lugar",1,2
629,"lugar, ubicó",1,2
630,"ubicó, ecopetrol",1,2
631,"ecopetrol, variación",1,2
632,"variación, porcentual",1,2
633,"porcentual, precio",1,2
634,"cierre, vendieron",1,2
635,"vendieron, millones",1,2
636,"millones, acciones",1,2
637,"acciones, millones",1,2
638,"millones, negociada",1,2
639,"negociada, bancolombia",1,2
640,"bancolombia, bcolombia",1,2
641,"bcolombia, transacciones",1,2
642,"transacciones, cuarta",1,2
643,"cuarta, negociada",1,2
644,"negociada, millones",1,2
645,"millones, cerró",1,2
646,"cerró, millones",1,2
647,"millones, millones",1,2
648,"millones, acción",1,2
649,"acción, valorada",1,2
650,"valorada, grupo",1,2
651,"grupo, aval",1,2
652,"aval, contracción",1,2
653,"contracción, variación",1,2
654,"porcentual, banco",1,2
655,"banco, occidente",1,2
656,"occidente, transada",1,2
657,"transada, movimientos",1,2
658,"movimientos, millones",1,2
659,"ecopetrol, anunció",1,3
660,"anunció, resultados",1,3
661,"resultados, oferta",1,3
662,"oferta, recompra",2,3
663,"recompra, enero",1,3
664,"enero, valor",1,3
665,"valor, millones",1,3
666,"millones, monto",2,3
667,"monto, principal",1,3
668,"principal, agregado",1,3
669,"agregado, bonos",1,3
670,"bonos, senior",1,3
671,"senior, emitido",1,3
672,"emitido, vencimiento",1,3
673,"vencimiento, septiembre",1,3
674,"septiembre, agente",1,3
675,"agente, depositario",1,3
676,"depositario, ayer",1,3
677,"ayer, hora",1,3
678,"hora, york",2,3
679,"york, recibieron",1,3
680,"recibieron, ofertas",1,3
681,"ofertas, millones",1,3
682,"monto, agregado",1,3
683,"agregado, comunicado",1,3
684,"comunicado, ecopetrol",1,3
685,"ecopetrol, oferta",1,3
686,"recompra, seguirá",1,3
687,"seguirá, vigente",1,3
688,"vigente, febrero",1,3
689,"febrero, hora",1,3
690,"york, compañía",1,3
691,"compañía, anunció",1,3
692,"anunció, caso",1,3
693,"caso, extienda",1,3
694,"extienda, finalice",1,3
695,"finalice, fecha",1,3
696,"fecha, acordada",1,3
697,"acordada, anunciará",1,3
698,"anunciará, mercado",1,3
699,"mercado, petrolera",1,3
700,"petrolera, estatal",1,3
701,"estatal, señalado",1,3
702,"señalado, tenedores",1,3
703,"tenedores, recibirán",1,3
704,"recibirán, intereses",1,3
705,"intereses, cobrados",1,3
706,"cobrados, pagados",1,3
707,"pagados, fecha",1,3
708,"fecha, pago",1,3
709,"pago, intereses",1,3
710,"intereses, liquidación",1,3
711,"liquidación, aplicable",1,3
712,"tema, presidente",1,4
713,"presidente, petro",1,4
714,"petro, respuesta",1,4
715,"respuesta, contundente",1,4
716,"contundente, omnicomprensiva",1,4
717,"omnicomprensiva, absoluta",1,4
718,"absoluta, enciclopédico",1,4
719,"enciclopédico, permitió",1,4
720,"permitió, vacilar",1,4
721,"vacilar, provocar",1,4
722,"provocar, renuncia",1,4
723,"renuncia, felipe",1,4
724,"felipe, bayón",1,4
725,"bayón, presidente",1,4
